txn_ref,category,expected_status,notes
TXN100074,clean,RECONCILED,
TXN100075,clean,RECONCILED,
TXN100076,fee_tax_variance,RECONCILED,₹796.61 partial refund included in net settlement
TXN100077,clean,RECONCILED,
TXN100078,clean,RECONCILED,
TXN100079,clean,RECONCILED,
TXN100080,clean,RECONCILED,
TXN100081,clean,RECONCILED,
TXN100082,clean,RECONCILED,
TXN100083,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100084,clean,RECONCILED,
TXN100085,clean,RECONCILED,
TXN100086,wrong_amount,EXCEPTION,"₹1420.23 unexplained shortfall, not covered by fee/tax/refund"
TXN100087,clean,RECONCILED,
TXN100088,clean,RECONCILED,
TXN100089,clean,RECONCILED,
TXN100090,clean,RECONCILED,
TXN100091,clean,RECONCILED,
TXN100092,clean,RECONCILED,
TXN100093,clean,RECONCILED,
TXN100094,clean,RECONCILED,
TXN100095,clean,RECONCILED,
TXN100096,wrong_amount,EXCEPTION,"₹1780.8 unexplained shortfall, not covered by fee/tax/refund"
TXN100097,clean,RECONCILED,
TXN100098,missing_settlement,EXCEPTION,"ERP entry exists, no corresponding bank record"
TXN100099,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100100,clean,RECONCILED,
TXN100101,clean,RECONCILED,
TXN100102,clean,RECONCILED,
TXN100103,clean,RECONCILED,
TXN100104,clean,RECONCILED,
TXN100105,clean,RECONCILED,
TXN100106,clean,RECONCILED,
TXN100107,clean,RECONCILED,
TXN100108,clean,RECONCILED,
TXN100109,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100110,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100111,clean,RECONCILED,
TXN100112,clean,RECONCILED,
TXN100113,clean,RECONCILED,
TXN100114,fee_tax_variance,RECONCILED,₹620.39 partial refund included in net settlement
TXN100115,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100116,clean,RECONCILED,
TXN100117,clean,RECONCILED,
TXN100118,clean,RECONCILED,
TXN100119,clean,RECONCILED,
TXN100120,clean,RECONCILED,
TXN100121,clean,RECONCILED,
TXN100122,clean,RECONCILED,
TXN100123,clean,RECONCILED,
TXN100124,clean,RECONCILED,
TXN100125,clean,RECONCILED,
TXN100126,clean,RECONCILED,
TXN100127,fee_tax_variance,RECONCILED,₹990.12 partial refund included in net settlement
TXN100128,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100129,clean,RECONCILED,
TXN100130,clean,RECONCILED,
TXN100131,clean,RECONCILED,
TXN100132,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100133,fee_tax_variance,RECONCILED,₹1.33 rounding variance beyond standard fee+tax calc
TXN100134,clean,RECONCILED,
TXN100135,clean,RECONCILED,
TXN100136,clean,RECONCILED,
TXN100137,clean,RECONCILED,
TXN100138,clean,RECONCILED,
TXN100139,clean,RECONCILED,
TXN100140,clean,RECONCILED,
TXN100141,clean,RECONCILED,
TXN100142,clean,RECONCILED,
TXN100143,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100144,clean,RECONCILED,
TXN100145,clean,RECONCILED,
TXN100146,clean,RECONCILED,
TXN100147,clean,RECONCILED,
TXN100148,clean,RECONCILED,
TXN100149,clean,RECONCILED,
TXN100150,wrong_amount,EXCEPTION,"₹3243.98 unexplained shortfall, not covered by fee/tax/refund"
TXN100151,clean,RECONCILED,
TXN100152,clean,RECONCILED,
TXN100153,clean,RECONCILED,
TXN100154,clean,RECONCILED,
TXN100155,clean,RECONCILED,
TXN100156,clean,RECONCILED,
TXN100157,clean,RECONCILED,
TXN100158,clean,RECONCILED,
TXN100159,clean,RECONCILED,
TXN100160,clean,RECONCILED,
TXN100161,clean,RECONCILED,
TXN100162,clean,RECONCILED,
TXN100163,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100164,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100165,clean,RECONCILED,
TXN100166,clean,RECONCILED,
TXN100167,clean,RECONCILED,
TXN100168,clean,RECONCILED,
TXN100169,clean,RECONCILED,
TXN100170,fee_tax_variance,RECONCILED,₹775.84 partial refund included in net settlement
TXN100171,clean,RECONCILED,
TXN100172,clean,RECONCILED,
TXN100173,clean,RECONCILED,
TXN100174,clean,RECONCILED,
TXN100175,clean,RECONCILED,
TXN100176,clean,RECONCILED,
TXN100177,clean,RECONCILED,
TXN100178,clean,RECONCILED,
TXN100179,clean,RECONCILED,
TXN100180,clean,RECONCILED,
TXN100181,clean,RECONCILED,
TXN100182,split_settlement,RECONCILED,single ERP amount arrived as two separate bank credits
TXN100183,clean,RECONCILED,
TXN100184,clean,RECONCILED,
TXN100185,clean,RECONCILED,
TXN100186,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100187,clean,RECONCILED,
TXN100188,clean,RECONCILED,
TXN100189,clean,RECONCILED,
TXN100190,clean,RECONCILED,
TXN100191,clean,RECONCILED,
TXN100192,clean,RECONCILED,
TXN100193,fee_tax_variance,RECONCILED,₹757.55 partial refund included in net settlement
TXN100194,clean,RECONCILED,
TXN100195,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100196,clean,RECONCILED,
TXN100197,clean,RECONCILED,
TXN100198,wrong_amount,EXCEPTION,"₹2299.66 unexplained shortfall, not covered by fee/tax/refund"
TXN100199,clean,RECONCILED,
TXN100200,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100201,fee_tax_variance,RECONCILED,₹1.71 rounding variance beyond standard fee+tax calc
TXN100202,clean,RECONCILED,
TXN100203,clean,RECONCILED,
TXN100204,clean,RECONCILED,
TXN100205,clean,RECONCILED,
TXN100206,clean,RECONCILED,
TXN100207,clean,RECONCILED,
TXN100208,clean,RECONCILED,
TXN100209,split_settlement,RECONCILED,single ERP amount arrived as two separate bank credits
TXN100210,clean,RECONCILED,
TXN100211,clean,RECONCILED,
TXN100212,clean,RECONCILED,
TXN100213,clean,RECONCILED,
TXN100214,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100215,wrong_amount,EXCEPTION,"₹2214.4 unexplained shortfall, not covered by fee/tax/refund"
TXN100216,clean,RECONCILED,
TXN100217,clean,RECONCILED,
TXN100218,clean,RECONCILED,
TXN100219,clean,RECONCILED,
TXN100220,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100221,clean,RECONCILED,
TXN100222,clean,RECONCILED,
TXN100223,clean,RECONCILED,
TXN100224,clean,RECONCILED,
TXN100225,clean,RECONCILED,
TXN100226,clean,RECONCILED,
TXN100227,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100228,clean,RECONCILED,
TXN100229,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100230,clean,RECONCILED,
TXN100231,clean,RECONCILED,
TXN100232,clean,RECONCILED,
TXN100233,clean,RECONCILED,
TXN100234,clean,RECONCILED,
TXN100235,clean,RECONCILED,
TXN100236,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100237,clean,RECONCILED,
TXN100238,clean,RECONCILED,
TXN100239,clean,RECONCILED,
TXN100240,clean,RECONCILED,
TXN100241,clean,RECONCILED,
TXN100242,clean,RECONCILED,
TXN100243,fee_tax_variance,RECONCILED,₹167.57 partial refund included in net settlement
TXN100244,clean,RECONCILED,
TXN100245,clean,RECONCILED,
TXN100246,clean,RECONCILED,
TXN100247,clean,RECONCILED,
TXN100248,clean,RECONCILED,
TXN100249,clean,RECONCILED,
TXN100250,clean,RECONCILED,
TXN100251,clean,RECONCILED,
TXN100252,clean,RECONCILED,
TXN100253,clean,RECONCILED,
TXN100254,wrong_amount,EXCEPTION,"₹5173.28 unexplained shortfall, not covered by fee/tax/refund"
TXN100255,wrong_amount,EXCEPTION,"₹3845.93 unexplained shortfall, not covered by fee/tax/refund"
TXN100256,clean,RECONCILED,
TXN100257,clean,RECONCILED,
TXN100258,clean,RECONCILED,
TXN100259,fee_tax_variance,RECONCILED,₹1107.13 partial refund included in net settlement
TXN100260,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100261,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100262,clean,RECONCILED,
TXN100263,clean,RECONCILED,
TXN100264,clean,RECONCILED,
TXN100265,clean,RECONCILED,
TXN100266,clean,RECONCILED,
TXN100267,split_settlement,RECONCILED,single ERP amount arrived as two separate bank credits
TXN100268,clean,RECONCILED,
TXN100269,clean,RECONCILED,
TXN100270,clean,RECONCILED,
TXN100271,clean,RECONCILED,
TXN100272,clean,RECONCILED,
TXN100273,fee_tax_variance,RECONCILED,₹1.75 rounding variance beyond standard fee+tax calc
TXN100274,clean,RECONCILED,
TXN100275,clean,RECONCILED,
TXN100276,clean,RECONCILED,
TXN100277,clean,RECONCILED,
TXN100278,clean,RECONCILED,
TXN100279,clean,RECONCILED,
TXN100280,clean,RECONCILED,
TXN100281,clean,RECONCILED,
TXN100282,clean,RECONCILED,
TXN100283,clean,RECONCILED,
TXN100284,clean,RECONCILED,
TXN100285,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100286,clean,RECONCILED,
TXN100287,clean,RECONCILED,
TXN100288,clean,RECONCILED,
TXN100289,clean,RECONCILED,
TXN100290,clean,RECONCILED,
TXN100291,clean,RECONCILED,
TXN100292,clean,RECONCILED,
TXN100293,clean,RECONCILED,
TXN100294,clean,RECONCILED,
TXN100295,clean,RECONCILED,
TXN100296,clean,RECONCILED,
TXN100297,clean,RECONCILED,
TXN100298,clean,RECONCILED,
TXN100299,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100300,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100301,clean,RECONCILED,
TXN100302,clean,RECONCILED,
TXN100303,clean,RECONCILED,
TXN100304,clean,RECONCILED,
TXN100305,clean,RECONCILED,
TXN100306,clean,RECONCILED,
TXN100307,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100308,clean,RECONCILED,
TXN100309,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100310,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100311,clean,RECONCILED,
TXN100312,clean,RECONCILED,
TXN100313,clean,RECONCILED,
TXN100314,clean,RECONCILED,
TXN100315,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100316,clean,RECONCILED,
TXN100317,clean,RECONCILED,
TXN100318,clean,RECONCILED,
TXN100319,fee_tax_variance,RECONCILED,₹2.36 rounding variance beyond standard fee+tax calc
TXN100320,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100321,missing_settlement,EXCEPTION,"ERP entry exists, no corresponding bank record"
TXN100322,clean,RECONCILED,
TXN100323,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100324,clean,RECONCILED,
TXN100325,clean,RECONCILED,
TXN100326,clean,RECONCILED,
TXN100327,fee_tax_variance,RECONCILED,₹2.93 rounding variance beyond standard fee+tax calc
TXN100328,clean,RECONCILED,
TXN100329,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100330,clean,RECONCILED,
TXN100331,clean,RECONCILED,
TXN100332,clean,RECONCILED,
TXN100333,clean,RECONCILED,
TXN100334,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100335,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100336,clean,RECONCILED,
TXN100337,clean,RECONCILED,
TXN100338,clean,RECONCILED,
TXN100339,clean,RECONCILED,
TXN100340,clean,RECONCILED,
TXN100341,clean,RECONCILED,
TXN100342,clean,RECONCILED,
TXN100343,clean,RECONCILED,
TXN100344,clean,RECONCILED,
TXN100345,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100346,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100347,clean,RECONCILED,
TXN100348,clean,RECONCILED,
TXN100349,clean,RECONCILED,
TXN100350,split_settlement,RECONCILED,single ERP amount arrived as two separate bank credits
TXN100351,clean,RECONCILED,
TXN100352,fee_tax_variance,RECONCILED,₹887.56 partial refund included in net settlement
TXN100353,clean,RECONCILED,
TXN100354,missing_settlement,EXCEPTION,"ERP entry exists, no corresponding bank record"
TXN100355,clean,RECONCILED,
TXN100356,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100357,clean,RECONCILED,
TXN100358,clean,RECONCILED,
TXN100359,clean,RECONCILED,
TXN100360,clean,RECONCILED,
TXN100361,clean,RECONCILED,
TXN100362,clean,RECONCILED,
TXN100363,clean,RECONCILED,
TXN100364,clean,RECONCILED,
TXN100365,clean,RECONCILED,
TXN100366,clean,RECONCILED,
TXN100367,clean,RECONCILED,
TXN100368,clean,RECONCILED,
TXN100369,fee_tax_variance,RECONCILED,₹770.66 partial refund included in net settlement
TXN100370,clean,RECONCILED,
TXN100371,clean,RECONCILED,
TXN100372,clean,RECONCILED,
TXN100373,clean,RECONCILED,
TXN100374,clean,RECONCILED,
TXN100375,clean,RECONCILED,
TXN100376,clean,RECONCILED,
TXN100377,clean,RECONCILED,
TXN100378,clean,RECONCILED,
TXN100379,clean,RECONCILED,
TXN100380,clean,RECONCILED,
TXN100381,clean,RECONCILED,
TXN100382,clean,RECONCILED,
TXN100383,clean,RECONCILED,
TXN100384,clean,RECONCILED,
TXN100385,clean,RECONCILED,
TXN100386,clean,RECONCILED,
TXN100387,clean,RECONCILED,
TXN100388,fee_tax_variance,RECONCILED,₹0.63 rounding variance beyond standard fee+tax calc
TXN100389,clean,RECONCILED,
TXN100390,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100391,clean,RECONCILED,
TXN100392,clean,RECONCILED,
TXN100393,clean,RECONCILED,
TXN100394,clean,RECONCILED,
TXN100395,clean,RECONCILED,
TXN100396,clean,RECONCILED,
TXN100397,clean,RECONCILED,
TXN100398,clean,RECONCILED,
TXN100399,clean,RECONCILED,
TXN100400,clean,RECONCILED,
TXN100401,clean,RECONCILED,
TXN100402,clean,RECONCILED,
TXN100403,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100404,clean,RECONCILED,
TXN100405,clean,RECONCILED,
TXN100406,clean,RECONCILED,
TXN100407,clean,RECONCILED,
TXN100408,clean,RECONCILED,
TXN100409,clean,RECONCILED,
TXN100410,clean,RECONCILED,
TXN100411,clean,RECONCILED,
TXN100412,clean,RECONCILED,
TXN100413,clean,RECONCILED,
TXN100414,clean,RECONCILED,
TXN100415,clean,RECONCILED,
TXN100416,clean,RECONCILED,
TXN100417,clean,RECONCILED,
TXN100418,clean,RECONCILED,
TXN100419,clean,RECONCILED,
TXN100420,clean,RECONCILED,
TXN100421,clean,RECONCILED,
TXN100422,clean,RECONCILED,
TXN100423,clean,RECONCILED,
TXN100424,clean,RECONCILED,
TXN100425,clean,RECONCILED,
TXN100426,clean,RECONCILED,
TXN100427,clean,RECONCILED,
TXN100428,clean,RECONCILED,
TXN100429,clean,RECONCILED,
TXN100430,clean,RECONCILED,
TXN100431,clean,RECONCILED,
TXN100432,clean,RECONCILED,
TXN100433,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100434,clean,RECONCILED,
TXN100435,clean,RECONCILED,
TXN100436,clean,RECONCILED,
TXN100437,clean,RECONCILED,
TXN100438,clean,RECONCILED,
TXN100439,clean,RECONCILED,
TXN100440,clean,RECONCILED,
TXN100441,split_settlement,RECONCILED,single ERP amount arrived as two separate bank credits
TXN100442,clean,RECONCILED,
TXN100443,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100444,timing_mismatch,REVIEW,settlement landed 4 days after entry (policy allows 1)
TXN100445,clean,RECONCILED,
TXN100446,clean,RECONCILED,
TXN100447,clean,RECONCILED,
TXN100448,clean,RECONCILED,
TXN100449,clean,RECONCILED,
TXN100450,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100451,clean,RECONCILED,
TXN100452,clean,RECONCILED,
TXN100453,clean,RECONCILED,
TXN100454,clean,RECONCILED,
TXN100455,clean,RECONCILED,
TXN100456,clean,RECONCILED,
TXN100457,clean,RECONCILED,
TXN100458,clean,RECONCILED,
TXN100459,clean,RECONCILED,
TXN100460,clean,RECONCILED,
TXN100461,clean,RECONCILED,
TXN100462,clean,RECONCILED,
TXN100463,clean,RECONCILED,
TXN100464,clean,RECONCILED,
TXN100465,clean,RECONCILED,
TXN100466,clean,RECONCILED,
TXN100467,clean,RECONCILED,
TXN100468,clean,RECONCILED,
TXN100469,clean,RECONCILED,
TXN100470,clean,RECONCILED,
TXN100471,clean,RECONCILED,
TXN100472,clean,RECONCILED,
TXN100473,clean,RECONCILED,
TXN100474,clean,RECONCILED,
TXN100475,timing_mismatch,REVIEW,settlement landed 2 days after entry (policy allows 1)
TXN100476,clean,RECONCILED,
TXN100477,clean,RECONCILED,
TXN100478,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100479,clean,RECONCILED,
TXN100480,clean,RECONCILED,
TXN100481,clean,RECONCILED,
TXN100482,clean,RECONCILED,
TXN100483,clean,RECONCILED,
TXN100484,timing_mismatch,REVIEW,settlement landed 3 days after entry (policy allows 1)
TXN100485,duplicate_ref,REVIEW,"same ref_number reused on a second, unrelated bank record"
TXN100486,clean,RECONCILED,
TXN100487,clean,RECONCILED,
TXN100488,clean,RECONCILED,
TXN100489,clean,RECONCILED,
TXN100490,clean,RECONCILED,
TXN100491,clean,RECONCILED,
TXN100492,clean,RECONCILED,
TXN100493,clean,RECONCILED,
TXN100494,clean,RECONCILED,
TXN100495,clean,RECONCILED,
TXN100496,clean,RECONCILED,
TXN100497,clean,RECONCILED,
TXN100498,clean,RECONCILED,
TXN100499,clean,RECONCILED,
